corpus,condition,lag_s,p25,p50,p75,n_sessions
Mouse-Dyad-10M,near,-3.810711563777455,0.6312555131494366,1.2522379728156567,1.825782821857158,35
Mouse-Dyad-10M,near,-3.8040494806239975,0.6312555131494366,1.2522379728156567,1.8048949118423618,35
Mouse-Dyad-10M,near,-3.7973873974705405,0.6312555131494366,1.2569976326264543,1.8048949118423618,35
Mouse-Dyad-10M,near,-3.7907253143170836,0.6312555131494366,1.2569976326264543,1.820730049128581,35
Mouse-Dyad-10M,near,-3.7840632311636266,0.6312555131494366,1.2569976326264543,1.820924493094763,35
Mouse-Dyad-10M,near,-3.7774011480101692,0.6312555131494366,1.2569976326264543,1.820924493094763,35
Mouse-Dyad-10M,near,-3.7707390648567123,0.6758324095645647,1.2524302651760495,1.835290684773378,35
Mouse-Dyad-10M,near,-3.7640769817032553,0.6760520001873029,1.2522379728156567,1.836954074347164,35
Mouse-Dyad-10M,near,-3.757414898549798,0.6760520001873029,1.2522379728156567,1.836954074347164,35
Mouse-Dyad-10M,near,-3.750752815396341,0.6760520001873029,1.2522379728156567,1.8211168866852023,35
Mouse-Dyad-10M,near,-3.744090732242884,0.6760520001873029,1.2820946338205421,1.8050869637035118,35
Mouse-Dyad-10M,near,-3.7374286490894266,0.5325671111111181,1.2405539798556875,1.7619297159592575,35
Mouse-Dyad-10M,near,-3.7307665659359697,0.5225097424122742,1.2522379728156567,1.7619297159592575,35
Mouse-Dyad-10M,near,-3.7241044827825127,0.5818716637966141,1.23481014897915,1.7619297159592575,35
Mouse-Dyad-10M,near,-3.7174423996290553,0.5831569262481371,1.2203170991317467,1.7619297159592575,35
Mouse-Dyad-10M,near,-3.7107803164755984,0.5831569262481371,1.1509690863995499,1.8083388559157827,35
Mouse-Dyad-10M,near,-3.7041182333221414,0.5831569262481371,1.1509690863995499,1.808907406858014,35
Mouse-Dyad-10M,near,-3.6974561501686845,0.5831569262481371,1.1509690863995499,1.808907406858014,35
Mouse-Dyad-10M,near,-3.690794067015227,0.5186977043390613,1.2545193388041216,1.808907406858014,35
Mouse-Dyad-10M,near,-3.68413198386177,0.5186977043390613,1.2493261445587223,1.808907406858014,35
Mouse-Dyad-10M,near,-3.677469900708313,0.5186977043390613,1.2545193388041216,1.808907406858014,35
Mouse-Dyad-10M,near,-3.6708078175548557,0.46500761789821093,1.1047027784281078,1.7619297159592575,35
Mouse-Dyad-10M,near,-3.664145734401399,0.46500761789821093,1.2387059397006654,1.7619297159592575,35
Mouse-Dyad-10M,near,-3.657483651247942,0.46500761789821093,1.2392977504116272,1.7619297159592575,35
Mouse-Dyad-10M,near,-3.6508215680944844,0.46500761789821093,1.2392977504116272,1.8467524836344273,35
Mouse-Dyad-10M,near,-3.6441594849410275,0.46500761789821093,1.2392977504116272,1.8444153608687994,35
Mouse-Dyad-10M,near,-3.6374974017875705,0.46500761789821093,1.2552874310498434,1.8895474104409593,35
Mouse-Dyad-10M,near,-3.6308353186341136,0.46500761789821093,1.2573838115098348,1.820422790919948,35
Mouse-Dyad-10M,near,-3.624173235480656,0.46500761789821093,1.2573838115098348,1.8201255042425348,35
Mouse-Dyad-10M,near,-3.617511152327199,0.46500761789821093,1.268344779835167,1.777327850035294,35
Mouse-Dyad-10M,near,-3.6108490691737423,0.46500761789821093,1.283490051025927,1.7770316543181661,35
Mouse-Dyad-10M,near,-3.604186986020285,0.46500761789821093,1.283490051025927,1.7770316543181661,35
Mouse-Dyad-10M,near,-3.597524902866828,0.47726355828667977,1.283490051025927,1.7770316543181661,35
Mouse-Dyad-10M,near,-3.590862819713371,0.47726355828667977,1.283490051025927,1.7770316543181661,35
Mouse-Dyad-10M,near,-3.5842007365599136,0.47726355828667977,1.283490051025927,1.7770316543181661,35
Mouse-Dyad-10M,near,-3.5775386534064566,0.47726355828667977,1.283490051025927,1.7770316543181661,35
Mouse-Dyad-10M,near,-3.5708765702529996,0.47726355828667977,1.283490051025927,1.7770316543181661,35
Mouse-Dyad-10M,near,-3.5642144870995427,0.47726355828667977,1.283490051025927,1.9261784602558212,35
Mouse-Dyad-10M,near,-3.5575524039460853,0.47726355828667977,1.283490051025927,1.9261784602558212,35
Mouse-Dyad-10M,near,-3.5508903207926283,0.5820029248328852,1.283490051025927,1.9198668340001734,35
Mouse-Dyad-10M,near,-3.5442282376391714,0.5820029248328852,1.283490051025927,1.9196846922884427,35
Mouse-Dyad-10M,near,-3.537566154485714,0.5820029248328852,1.283490051025927,1.9196846922884427,35
Mouse-Dyad-10M,near,-3.530904071332257,0.5820029248328852,1.2573838115098348,1.902287213734041,35
Mouse-Dyad-10M,near,-3.5242419881788,0.5820029248328852,1.2573838115098348,1.902285351965359,35
Mouse-Dyad-10M,near,-3.5175799050253427,0.5820029248328852,1.2573838115098348,1.9234107390918838,35
Mouse-Dyad-10M,near,-3.5109178218718857,0.5820029248328852,1.25713715168231,1.9783175914470577,35
Mouse-Dyad-10M,near,-3.5042557387184288,0.5820029248328852,1.2569976326264543,2.0045703265784,35
Mouse-Dyad-10M,near,-3.497593655564972,0.5308184485906653,1.2303222072289164,2.0043512131952004,35
Mouse-Dyad-10M,near,-3.4909315724115144,0.5303758640270397,1.2303222072289164,2.0043512131952004,35
Mouse-Dyad-10M,near,-3.4842694892580575,0.5303758640270397,1.2573838115098348,2.0043512131952004,35
Mouse-Dyad-10M,near,-3.4776074061046005,0.5820029248328852,1.2673817062445083,2.0043512131952004,35
Mouse-Dyad-10M,near,-3.470945322951143,0.5820029248328852,1.2718045431429055,2.0202027534873546,35
Mouse-Dyad-10M,near,-3.464283239797686,0.5820029248328852,1.2392905957807843,2.004528912426158,35
Mouse-Dyad-10M,near,-3.457621156644229,0.5820029248328852,1.2405343034757745,2.0043512131952004,35
Mouse-Dyad-10M,near,-3.450959073490772,0.7094561725336661,1.2405343034757745,2.0043512131952004,35
Mouse-Dyad-10M,near,-3.444296990337315,0.7094561725336661,1.2405343034757745,2.0043512131952004,35
Mouse-Dyad-10M,near,-3.437634907183858,0.7094561725336661,1.2405343034757745,1.9375014770727637,35
Mouse-Dyad-10M,near,-3.430972824030401,0.7094561725336661,1.2718045431429055,1.9530549801894217,35
Mouse-Dyad-10M,near,-3.4243107408769435,0.5820029248328852,1.2718045431429055,1.9532309707739273,35
Mouse-Dyad-10M,near,-3.4176486577234866,0.5820029248328852,1.2718045431429055,1.9532309707739273,35
Mouse-Dyad-10M,near,-3.4109865745700296,0.5820029248328852,1.2718045431429055,1.9457389541731156,35
Mouse-Dyad-10M,near,-3.4043244914165722,0.7094561725336661,1.254776367446654,1.9452163364308843,35
Mouse-Dyad-10M,near,-3.3976624082631153,0.7094561725336661,1.2718045431429055,1.9452163364308843,35
Mouse-Dyad-10M,near,-3.3910003251096583,0.7094561725336661,1.2718045431429055,1.9452163364308843,35
Mouse-Dyad-10M,near,-3.384338241956201,0.7094561725336661,1.2996751070683057,1.9452163364308843,35
Mouse-Dyad-10M,near,-3.377676158802744,0.7094561725336661,1.2718045431429055,1.8650938469012792,35
Mouse-Dyad-10M,near,-3.371014075649287,0.7094561725336661,1.2718045431429055,1.864576332847939,35
Mouse-Dyad-10M,near,-3.3643519924958296,0.7094561725336661,1.2718045431429055,1.864576332847939,35
Mouse-Dyad-10M,near,-3.3576899093423727,0.7094561725336661,1.2718045431429055,1.7951894962627764,35
Mouse-Dyad-10M,near,-3.3510278261889157,0.7094561725336661,1.2996751070683057,1.7951894962627764,35
Mouse-Dyad-10M,near,-3.3443657430354587,0.7094561725336661,1.2996751070683057,1.8306139200864422,35
Mouse-Dyad-10M,near,-3.3377036598820014,0.7261853795249245,1.303049476132784,1.830754867154587,35
Mouse-Dyad-10M,near,-3.3310415767285444,0.7261853795249245,1.2718045431429055,1.830754867154587,35
Mouse-Dyad-10M,near,-3.3243794935750874,0.805169311025277,1.2718045431429055,1.830754867154587,35
Mouse-Dyad-10M,near,-3.31771741042163,0.8062900796359037,1.2718045431429055,1.830754867154587,35
Mouse-Dyad-10M,near,-3.311055327268173,0.8062900796359037,1.2689809948857078,1.7951894962627764,35
Mouse-Dyad-10M,near,-3.304393244114716,0.8062900796359037,1.2718045431429055,1.7951894962627764,35
Mouse-Dyad-10M,near,-3.2977311609612587,0.8062900796359037,1.2718045431429055,1.7951894962627764,35
Mouse-Dyad-10M,near,-3.291069077807802,0.8062900796359037,1.2718045431429055,1.7614265271686416,35
Mouse-Dyad-10M,near,-3.284406994654345,0.8062900796359037,1.2718045431429055,1.7614265271686416,35
Mouse-Dyad-10M,near,-3.277744911500888,0.8460192654549349,1.2736833481895533,1.7614265271686416,35
Mouse-Dyad-10M,near,-3.2710828283474305,0.8460192654549349,1.2718045431429055,1.7614265271686416,35
Mouse-Dyad-10M,near,-3.2644207451939735,0.8460192654549349,1.2736833481895533,1.7626243528405143,35
Mouse-Dyad-10M,near,-3.2577586620405166,0.8460192654549349,1.2573838115098348,1.8046316891801264,35
