328 cells, 12 workers
[206/328] OK soc1/2022_09_26_M6_M4/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[207/328] OK soc3/2022_10_04_M1_M2/C7_cams2 idf1=1.0 acc=1.0 sw=0
[208/328] OK soc3/2022_10_04_M1_M2/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[209/328] OK soc1/2022_09_26_M6_M4/C7_cams5 idf1=1.0 acc=1.0 sw=0
[210/328] OK soc1/2022_09_26_M6_M4/C7b_cams5_sigma10 idf1=0.999996 acc=0.999996 sw=0
[211/328] OK soc3/2022_10_04_M1_M2/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[212/328] OK soc3/2022_10_04_M1_M2/C7_cams3 idf1=1.0 acc=1.0 sw=0
[213/328] OK soc3/2022_10_04_M3_M4/C7_cams2 idf1=0.701438 acc=0.701438 sw=8
[214/328] OK soc3/2022_10_04_M1_M2/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[215/328] OK soc3/2022_10_04_M1_M2/C7_cams4 idf1=1.0 acc=1.0 sw=0
[216/328] OK soc3/2022_10_04_M1_M2/C7_cams5 idf1=1.0 acc=1.0 sw=0
[217/328] OK soc3/2022_10_04_M3_M4/C7b_cams2_sigma10 idf1=0.915326 acc=0.915326 sw=44
[218/328] OK soc3/2022_10_04_M1_M2/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[219/328] OK soc3/2022_10_04_M3_M4/C7_cams3 idf1=0.999592 acc=0.999592 sw=8
[220/328] OK soc3/2022_10_04_M3_M4/C7b_cams3_sigma10 idf1=0.951161 acc=0.951161 sw=48
[221/328] OK soc3/2022_10_04_M3_M4/C7_cams4 idf1=0.972416 acc=0.972416 sw=2
[222/328] OK soc3/2022_10_04_M3_M4/C7b_cams4_sigma10 idf1=0.999455 acc=0.999455 sw=50
[223/328] OK soc3/2022_10_04_M5_M6/C7b_cams2_sigma10 idf1=0.997815 acc=0.997815 sw=2
[224/328] OK soc3/2022_10_04_M5_M6/C7_cams2 idf1=1.0 acc=1.0 sw=0
[225/328] OK soc3/2022_10_04_M3_M4/C7_cams5 idf1=0.999816 acc=0.999816 sw=4
[226/328] OK soc3/2022_10_04_M3_M4/C7b_cams5_sigma10 idf1=0.99947 acc=0.99947 sw=32
[227/328] OK soc3/2022_10_04_M5_M6/C7_cams3 idf1=1.0 acc=1.0 sw=0
[228/328] OK soc3/2022_10_04_M5_M6/C7b_cams3_sigma10 idf1=0.999996 acc=0.999996 sw=0
[229/328] OK soc3/2022_10_04_M5_M6/C7_cams4 idf1=1.0 acc=1.0 sw=0
[230/328] OK soc3/2022_10_05_M1_M6/C7_cams2 idf1=1.0 acc=1.0 sw=0
[231/328] OK soc3/2022_10_04_M5_M6/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[232/328] OK soc3/2022_10_05_M1_M6/C7b_cams2_sigma10 idf1=0.999354 acc=0.999354 sw=2
[233/328] OK soc3/2022_10_04_M5_M6/C7_cams5 idf1=1.0 acc=1.0 sw=0
[234/328] OK soc3/2022_10_04_M5_M6/C7b_cams5_sigma10 idf1=0.999998 acc=0.999998 sw=0
[235/328] OK soc3/2022_10_05_M1_M6/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[236/328] OK soc3/2022_10_05_M1_M6/C7_cams3 idf1=1.0 acc=1.0 sw=0
[237/328] OK soc3/2022_10_05_M1_M6/C7_cams4 idf1=1.0 acc=1.0 sw=0
[238/328] OK soc3/2022_10_05_M3_M2/C7_cams2 idf1=1.0 acc=1.0 sw=0
[239/328] OK soc3/2022_10_05_M1_M6/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[240/328] OK soc3/2022_10_05_M3_M2/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[241/328] OK soc3/2022_10_05_M1_M6/C7_cams5 idf1=1.0 acc=1.0 sw=0
[242/328] OK soc3/2022_10_05_M1_M6/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[243/328] OK soc3/2022_10_05_M3_M2/C7_cams3 idf1=1.0 acc=1.0 sw=0
[244/328] OK soc3/2022_10_05_M3_M2/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[245/328] OK soc3/2022_10_05_M3_M2/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[246/328] OK soc3/2022_10_05_M3_M2/C7_cams4 idf1=1.0 acc=1.0 sw=0
[247/328] OK soc3/2022_10_05_M5_M4/C7_cams2 idf1=1.0 acc=1.0 sw=0
[248/328] OK soc3/2022_10_05_M5_M4/C7b_cams2_sigma10 idf1=0.893596 acc=0.893596 sw=12
[249/328] OK soc3/2022_10_05_M5_M4/C7_cams3 idf1=0.999629 acc=0.999629 sw=0
[250/328] OK soc3/2022_10_05_M3_M2/C7_cams5 idf1=1.0 acc=1.0 sw=0
[251/328] OK soc3/2022_10_05_M3_M2/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
